

"Close Approach Definition"
"Advanced CAT object: sgp4ESSS                                                        "
"Close Approach Threshold: 20.000000 (km)                                             "
"Close Approach Time Interval: 23 Oct 2013 03:58:20.414 to 23 Oct 2014 03:58:20.414   "
"Point-to-Point Mode is ON.  Finite ellipsoid sizes have been overridden to be points."

"Settings"
"Out of Date Filter is OFF.                                                                                  "
"Apo Peri Filter    is ON.  Pad  is 30.000000 (km)                                                           "
"Path Filter        is OFF.                                                                                  "
"Time Filter        is OFF.                                                                                  "
""
"Each local range minimum is reported as a separate event with corresponding conjunction TCA (i.e., ConjTCA)."
"Additionally, an interval endpoint time will be reported as a separate event with corresponding             "
"conjunction TCA (i.e., ConjTCA) if it is the global range minimum over the interval                      "
""
"Secondaries whose SSC number match the primary SSC number have been ignored.                                "
""
"MaxSampleStepSize is 300.000000 secs                                                                        "
"MinSampleStepSize is 1.000000 secs                                                                          "

"Name","Status","Type","Tangential (km)","Cross-Track (km)","Normal (km)"
"Satellite/ENVISAT_27386","Found Scenario Object","Scenario Object",1.000000,1.000000,1.000000

"Name","Status","Type","Tangential (km)","Cross-Track (km)","Normal (km)"
"spaceTrackTLEs_23_10_2013.tce","Found File","Tle File",1.000000,1.000000,1.000000

"SSC","ConjTCA (UTCG)","Min Range (km)","Max Collision Probability","Collision Probability (Analytic)","Collision Probability (Numeric)","Collision Probability (Patera 2005)"
"34088",23 Oct 2013 04:22:57.912,18.585451,2.7179e-007,2.0073e-042,0.0000e+000,6.9022e-020
"4326",23 Oct 2013 04:30:24.876,19.122728,2.5674e-007,1.2677e-044,1.2677e-044,7.5493e-020
"28291",23 Oct 2013 04:47:15.931,8.582239,1.2746e-006,6.4282e-013,6.4282e-013,6.4282e-013
"35705",23 Oct 2013 05:59:48.637,14.551696,4.4336e-007,6.5294e-028,6.5294e-028,1.1648e-019
"28606",23 Oct 2013 06:00:56.203,19.164363,2.5562e-007,8.5103e-045,8.5103e-045,7.7650e-020
"177",23 Oct 2013 06:09:41.837,13.926059,4.8410e-007,5.6136e-026,5.6137e-026,9.9220e-020
"30278",23 Oct 2013 06:27:51.748,14.750916,4.3147e-007,1.5173e-028,1.5171e-028,1.2510e-019
"35434",23 Oct 2013 06:49:05.365,6.444143,2.2608e-006,1.9780e-009,1.9780e-009,1.9780e-009
"30532",23 Oct 2013 07:41:43.680,15.625726,3.8451e-007,1.9768e-031,1.9768e-031,6.4709e-020
"13566",23 Oct 2013 08:35:54.763,17.540256,3.0515e-007,2.5238e-038,2.5238e-038,1.3589e-019
"480",23 Oct 2013 09:15:53.963,11.966820,6.5559e-007,1.8073e-020,1.8073e-020,1.8550e-019
"30846",23 Oct 2013 09:21:09.299,19.892600,2.3725e-007,6.9488e-048,6.9488e-048,7.1179e-020
"39313",23 Oct 2013 10:13:24.422,5.573841,3.0219e-006,2.7026e-008,2.7026e-008,2.7026e-008
"36381",23 Oct 2013 10:22:20.883,16.937526,3.2726e-007,4.5523e-036,0.0000e+000,9.4906e-020
"33952",23 Oct 2013 11:04:24.310,19.962059,2.3560e-007,3.4783e-048,0.0000e+000,4.3139e-020
"35796",23 Oct 2013 11:58:22.196,12.454535,6.0525e-007,9.2024e-022,9.2024e-022,3.4511e-020
"38110",23 Oct 2013 12:43:55.235,17.724063,2.9886e-007,4.9925e-039,0.0000e+000,4.5296e-020
"35658",23 Oct 2013 12:48:15.183,17.505582,3.0636e-007,3.4197e-038,0.0000e+000,8.6278e-020
"36047",23 Oct 2013 12:48:58.178,10.118856,9.1691e-007,4.8772e-016,4.8772e-016,4.8791e-016
"35658",23 Oct 2013 13:38:22.610,8.381959,1.3363e-006,1.5030e-012,1.5030e-012,1.5030e-012
"4921",23 Oct 2013 13:46:01.189,18.462822,2.7542e-007,6.2499e-042,6.2498e-042,5.3924e-020
"7433",23 Oct 2013 14:20:51.085,17.401397,3.5342e-007,9.6793e-038,0.0000e+000,-1.2510e-019
