

"Close Approach Definition"
"Advanced CAT object: sgp4ESSS                                                        "
"Close Approach Threshold: 20.000000 (km)                                             "
"Close Approach Time Interval: 23 Oct 2013 03:58:20.414 to 23 Oct 2014 03:58:20.414   "
"Point-to-Point Mode is ON.  Finite ellipsoid sizes have been overridden to be points."

"Settings"
"Out of Date Filter is OFF.                                                                                  "
"Apo Peri Filter    is ON.  Pad  is 30.000000 (km)                                                           "
"Path Filter        is OFF.                                                                                  "
"Time Filter        is OFF.                                                                                  "
""
"Each local range minimum is reported as a separate event with corresponding conjunction TCA (i.e., ConjTCA)."
"Additionally, an interval endpoint time will be reported as a separate event with corresponding             "
"conjunction TCA (i.e., ConjTCA) if it is the global range minimum over the interval                      "
""
"Secondaries whose SSC number match the primary SSC number have been ignored.                                "
""
"MaxSampleStepSize is 300.000000 secs                                                                        "
"MinSampleStepSize is 1.000000 secs                                                                          "

"Name","Status","Type","Tangential (km)","Cross-Track (km)","Normal (km)"
"Satellite/ENVISAT_27386","Found Scenario Object","Scenario Object",0.200000,0.100000,0.040000

"Name","Status","Type","Tangential (km)","Cross-Track (km)","Normal (km)"
"spaceTrackTLEs_23_10_2013.tce","Found File","Tle File",0.200000,0.100000,0.040000

"SSC","ConjTCA (UTCG)","Min Range (km)","Max Collision Probability","Collision Probability (Analytic)","Collision Probability (Numeric)","Collision Probability (Patera 2005)"
"34088",23 Oct 2013 04:22:57.912,18.585451,8.6856e-007,1.0000e-305,0.0000e+000,6.6866e-020
"4326",23 Oct 2013 04:30:24.876,19.122728,1.1195e-006,1.0000e-305,0.0000e+000,3.5374e-019
"28291",23 Oct 2013 04:47:15.931,8.582239,6.2697e-006,1.0000e-305,3.5122e-317,4.3139e-020
"35705",23 Oct 2013 05:59:48.637,14.551696,1.3656e-006,1.0000e-305,0.0000e+000,6.2552e-020
"28606",23 Oct 2013 06:00:56.203,19.164363,9.9095e-007,1.0000e-305,0.0000e+000,3.5590e-020
"177",23 Oct 2013 06:09:41.837,13.926059,1.7348e-006,1.0000e-305,0.0000e+000,1.0785e-019
"30278",23 Oct 2013 06:27:51.748,14.750916,1.1166e-006,1.0000e-305,0.0000e+000,1.4236e-019
"35434",23 Oct 2013 06:49:05.365,6.444143,6.2993e-006,1.0000e-305,0.0000e+000,1.7256e-020
"30532",23 Oct 2013 07:41:43.680,15.625726,1.4981e-006,1.0000e-305,1.5470e-308,2.3726e-020
"13566",23 Oct 2013 08:35:54.763,17.540256,1.2656e-006,1.0000e-305,0.0000e+000,7.1179e-020
"480",23 Oct 2013 09:15:53.963,11.966820,1.8626e-006,1.0000e-305,0.0000e+000,1.0353e-019
"30846",23 Oct 2013 09:21:09.299,19.892600,9.1318e-007,1.0000e-305,0.0000e+000,1.6393e-019
"39313",23 Oct 2013 10:13:24.422,5.573841,8.6967e-006,1.0000e-305,0.0000e+000,1.0353e-019
"36381",23 Oct 2013 10:22:20.883,16.937526,8.4241e-007,1.0000e-305,0.0000e+000,1.9844e-019
"33952",23 Oct 2013 11:04:24.310,19.962059,8.1576e-007,1.0000e-305,0.0000e+000,1.8981e-019
"35796",23 Oct 2013 11:58:22.196,12.454535,1.7925e-006,1.0000e-305,0.0000e+000,6.4709e-020
"38110",23 Oct 2013 12:43:55.235,17.724063,1.4884e-006,1.0000e-305,0.0000e+000,2.9119e-020
"35658",23 Oct 2013 12:48:15.183,17.505582,1.0184e-006,1.0000e-305,0.0000e+000,4.2061e-020
"36047",23 Oct 2013 12:48:58.178,10.118856,3.6286e-006,1.0000e-305,0.0000e+000,7.3336e-020
"35658",23 Oct 2013 13:38:22.610,8.381959,4.4448e-006,1.0000e-305,0.0000e+000,1.0353e-019
"4921",23 Oct 2013 13:46:01.189,18.462822,7.4421e-007,1.0000e-305,0.0000e+000,1.9413e-020
"7433",23 Oct 2013 14:20:51.085,17.401397,1.2289e-006,1.0000e-305,0.0000e+000,-1.5099e-020
"38204",23 Oct 2013 15:48:14.020,4.980950,9.5413e-006,1.0000e-305,0.0000e+000,2.2432e-019
"35628",23 Oct 2013 16:04:59.279,19.290194,8.6334e-007,1.0000e-305,0.0000e+000,1.2510e-019
"1833",23 Oct 2013 17:12:14.302,15.552186,1.5900e-006,1.0000e-305,0.0000e+000,2.9119e-020
"35628",23 Oct 2013 17:45:11.744,12.441217,2.0768e-006,1.0000e-305,0.0000e+000,2.3726e-020
"22481",23 Oct 2013 17:49:51.553,18.975985,9.1082e-007,1.0000e-305,0.0000e+000,3.8825e-020
"8343",23 Oct 2013 17:56:43.637,12.397194,1.7663e-006,1.0000e-305,0.0000e+000,-3.5374e-019
"8343",23 Oct 2013 18:46:53.546,17.439852,8.9272e-007,1.0000e-305,0.0000e+000,-3.2354e-020
