

"Close Approach Definition"
"Advanced CAT object: sgp4ESSS                                                        "
"Close Approach Threshold: 20.000000 (km)                                             "
"Close Approach Time Interval: 23 Oct 2013 03:58:20.414 to 23 Oct 2014 03:58:20.414   "
"Point-to-Point Mode is ON.  Finite ellipsoid sizes have been overridden to be points."

"Settings"
"Out of Date Filter is OFF.                                                                                  "
"Apo Peri Filter    is ON.  Pad  is 30.000000 (km)                                                           "
"Path Filter        is OFF.                                                                                  "
"Time Filter        is OFF.                                                                                  "
""
"Each local range minimum is reported as a separate event with corresponding conjunction TCA (i.e., ConjTCA)."
"Additionally, an interval endpoint time will be reported as a separate event with corresponding             "
"conjunction TCA (i.e., ConjTCA) if it is the global range minimum over the interval                      "
""
"Secondaries whose SSC number match the primary SSC number have been ignored.                                "
""
"MaxSampleStepSize is 300.000000 secs                                                                        "
"MinSampleStepSize is 1.000000 secs                                                                          "

"Name","Status","Type","Tangential (km)","Cross-Track (km)","Normal (km)"
"Satellite/ENVISAT_27386","Found Scenario Object","Scenario Object",0.040000,0.010000,0.001600

"Name","Status","Type","Tangential (km)","Cross-Track (km)","Normal (km)"
"spaceTrackTLEs_23_10_2013.tce","Found File","Tle File",0.040000,0.010000,0.001600

"SSC","ConjTCA (UTCG)","Min Range (km)","Max Collision Probability","Collision Probability (Analytic)","Collision Probability (Numeric)","Collision Probability (Patera 2005)"
"34088",23 Oct 2013 04:22:57.912,18.585451,3.4686e-006,1.0000e-305,0.0000e+000,5.3924e-022
"4326",23 Oct 2013 04:30:24.876,19.122728,5.3692e-006,1.0000e-305,0.0000e+000,3.8825e-020
"28291",23 Oct 2013 04:47:15.931,8.582239,3.0919e-005,1.0000e-305,0.0000e+000,-1.6447e-020
"35705",23 Oct 2013 05:59:48.637,14.551696,5.2470e-006,1.0000e-305,0.0000e+000,-1.0515e-020
"28606",23 Oct 2013 06:00:56.203,19.164363,4.5249e-006,1.0000e-305,0.0000e+000,-5.2576e-021
"177",23 Oct 2013 06:09:41.837,13.926059,7.5763e-006,1.0000e-305,0.0000e+000,-2.6962e-020
"30278",23 Oct 2013 06:27:51.748,14.750916,3.1261e-006,1.0000e-305,0.0000e+000,-5.1767e-020
"35434",23 Oct 2013 06:49:05.365,6.444143,2.1004e-005,1.0000e-305,0.0000e+000,-1.1216e-019
"30532",23 Oct 2013 07:41:43.680,15.625726,6.8506e-006,1.0000e-305,0.0000e+000,-6.0664e-021
"13566",23 Oct 2013 08:35:54.763,17.540256,5.9572e-006,1.0000e-305,0.0000e+000,-1.4559e-020
"480",23 Oct 2013 09:15:53.963,11.966820,6.4110e-006,1.0000e-305,0.0000e+000,-1.8118e-019
"30846",23 Oct 2013 09:21:09.299,19.892600,4.1535e-006,1.0000e-305,0.0000e+000,-1.4020e-020
"39313",23 Oct 2013 10:13:24.422,5.573841,3.0491e-005,1.0000e-305,0.0000e+000,1.4020e-020
"36381",23 Oct 2013 10:22:20.883,16.937526,2.3315e-006,1.0000e-305,0.0000e+000,-6.6866e-020
"33952",23 Oct 2013 11:04:24.310,19.962059,3.4814e-006,1.0000e-305,0.0000e+000,-6.7297e-019
"35796",23 Oct 2013 11:58:22.196,12.454535,6.5687e-006,1.0000e-305,0.0000e+000,-2.1570e-020
"38110",23 Oct 2013 12:43:55.235,17.724063,7.4335e-006,1.0000e-305,0.0000e+000,-2.4266e-021
"35658",23 Oct 2013 12:48:15.183,17.505582,4.2124e-006,1.0000e-305,0.0000e+000,-9.9759e-021
"36047",23 Oct 2013 12:48:58.178,10.118856,1.6732e-005,1.0000e-305,0.0000e+000,-1.6447e-020
"35658",23 Oct 2013 13:38:22.610,8.381959,1.8392e-005,1.0000e-305,0.0000e+000,-4.3139e-021
"4921",23 Oct 2013 13:46:01.189,18.462822,2.3346e-006,1.0000e-305,0.0000e+000,-2.4266e-021
"7433",23 Oct 2013 14:20:51.085,17.401397,5.2604e-006,1.0000e-305,0.0000e+000,-9.7063e-021
"38204",23 Oct 2013 15:48:14.020,4.980950,2.4518e-005,1.0000e-305,0.0000e+000,-1.1648e-019
"35628",23 Oct 2013 16:04:59.279,19.290194,3.6529e-006,1.0000e-305,0.0000e+000,-1.4020e-020
"1833",23 Oct 2013 17:12:14.302,15.552186,7.4453e-006,1.0000e-305,0.0000e+000,-1.4829e-021
"35628",23 Oct 2013 17:45:11.744,12.441217,8.7911e-006,1.0000e-305,0.0000e+000,-9.4367e-021
"22481",23 Oct 2013 17:49:51.553,18.975985,3.9105e-006,1.0000e-305,0.0000e+000,-2.6962e-021
"8343",23 Oct 2013 17:56:43.637,12.397194,4.6622e-006,1.0000e-305,0.0000e+000,-1.7687e-019
"8343",23 Oct 2013 18:46:53.546,17.439852,2.3579e-006,1.0000e-305,0.0000e+000,-2.4805e-020
